[2025-12-11 15:14:56,217][accelerate.checkpointing][INFO] - Optimizer state saved in experiments/noise_distillation/checkpoints/epoch_5/optimizer.bin
[2025-12-11 15:14:56,222][accelerate.checkpointing][INFO] - Scheduler state saved in experiments/noise_distillation/checkpoints/epoch_5/scheduler.bin
[2025-12-11 15:14:56,223][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in experiments/noise_distillation/checkpoints/epoch_5/sampler.bin
[2025-12-11 15:14:56,223][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in experiments/noise_distillation/checkpoints/epoch_5/sampler_1.bin
[2025-12-11 15:14:56,225][accelerate.checkpointing][INFO] - Gradient scaler state saved in experiments/noise_distillation/checkpoints/epoch_5/scaler.pt
[2025-12-11 15:14:56,228][accelerate.checkpointing][INFO] - Random states saved in experiments/noise_distillation/checkpoints/epoch_5/random_states_0.pkl
[2025-12-11 15:14:56,228][accelerate.checkpointing][INFO] - Saving the state of NoiseTrainer to experiments/noise_distillation/checkpoints/epoch_5/custom_checkpoint_0.pkl
[2025-12-11 15:14:56,243][accelerate.accelerator][INFO] - Saving current state to experiments/noise_distillation/checkpoints/best
[2025-12-11 15:14:56,776][accelerate.checkpointing][INFO] - Model weights saved in experiments/noise_distillation/checkpoints/best/model.safetensors
[2025-12-11 15:14:56,821][accelerate.checkpointing][INFO] - Optimizer state saved in experiments/noise_distillation/checkpoints/best/optimizer.bin
[2025-12-11 15:14:56,822][accelerate.checkpointing][INFO] - Scheduler state saved in experiments/noise_distillation/checkpoints/best/scheduler.bin
[2025-12-11 15:14:56,823][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in experiments/noise_distillation/checkpoints/best/sampler.bin
[2025-12-11 15:14:56,823][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in experiments/noise_distillation/checkpoints/best/sampler_1.bin
[2025-12-11 15:14:56,824][accelerate.checkpointing][INFO] - Gradient scaler state saved in experiments/noise_distillation/checkpoints/best/scaler.pt
[2025-12-11 15:14:56,826][accelerate.checkpointing][INFO] - Random states saved in experiments/noise_distillation/checkpoints/best/random_states_0.pkl
[2025-12-11 15:14:56,827][accelerate.checkpointing][INFO] - Saving the state of NoiseTrainer to experiments/noise_distillation/checkpoints/best/custom_checkpoint_0.pkl
[2025-12-11 15:14:56,829][accel_hydra.utils.logging.experiments/noise_distillation//train.log][INFO] - training epoch 5 ended
[2025-12-11 17:13:25,413][accelerate.accelerator][INFO] - Saving current state to experiments/noise_distillation/checkpoints/epoch_6
[2025-12-11 17:13:25,981][accelerate.checkpointing][INFO] - Model weights saved in experiments/noise_distillation/checkpoints/epoch_6/model.safetensors
[2025-12-11 17:13:26,037][accelerate.checkpointing][INFO] - Optimizer state saved in experiments/noise_distillation/checkpoints/epoch_6/optimizer.bin
[2025-12-11 17:13:26,041][accelerate.checkpointing][INFO] - Scheduler state saved in experiments/noise_distillation/checkpoints/epoch_6/scheduler.bin
[2025-12-11 17:13:26,041][accelerate.checkpointing][INFO] - Sampler state for dataloader 0 saved in experiments/noise_distillation/checkpoints/epoch_6/sampler.bin
[2025-12-11 17:13:26,041][accelerate.checkpointing][INFO] - Sampler state for dataloader 1 saved in experiments/noise_distillation/checkpoints/epoch_6/sampler_1.bin
